,Hindi,English,Science,Maths,History,Geograpgy,Total,Results,Div
696,11,3,74,91,18,81,278,0,2
697,47,42,11,43,59,77,279,1,2
698,57,81,61,28,22,56,305,0,2
699,50,78,96,40,65,56,385,1,1
700,68,28,51,23,23,69,262,0,3
701,49,83,62,16,54,63,327,1,2
702,61,52,15,2,88,62,280,0,2
703,25,2,43,31,58,38,197,0,0
704,85,3,86,59,7,88,328,0,2
705,0,36,19,86,0,49,190,0,0
706,67,79,58,84,54,7,349,1,2
707,88,66,24,73,33,89,373,0,1
708,0,48,94,73,52,96,363,1,1
709,2,57,20,18,46,10,153,0,0
710,91,60,14,15,54,82,316,0,2
711,38,65,20,36,34,37,230,1,3
712,18,6,32,59,82,93,290,0,2
713,24,41,94,85,72,90,406,1,1
714,13,59,12,53,72,60,269,0,3
715,41,6,45,45,73,96,306,1,2
716,74,98,88,14,24,86,384,0,1
717,4,82,46,7,68,60,267,0,3
718,25,31,82,81,42,21,282,0,2
719,4,72,20,76,91,83,346,0,2
720,73,18,3,55,77,87,313,0,2
721,77,54,27,85,11,25,279,0,2
722,55,50,53,65,36,35,294,1,2
723,55,19,38,46,80,20,258,0,3
724,94,69,37,20,68,86,374,1,1
725,93,32,57,8,85,7,282,0,2
726,96,34,30,76,62,68,366,1,1
727,82,74,64,67,23,14,324,0,2
728,3,89,96,21,78,85,372,0,1
729,78,88,29,0,65,15,275,0,2
730,82,51,76,75,9,29,322,0,2
731,26,2,53,1,92,41,215,0,3
732,54,30,84,51,4,18,241,0,3
733,12,27,5,36,87,63,230,0,3
734,16,37,64,95,24,26,262,0,3
735,21,97,67,45,24,11,265,0,3
736,16,41,95,43,99,7,301,0,2
737,77,60,44,86,47,22,336,1,2
738,46,93,58,39,12,61,309,1,2
739,5,72,44,85,73,75,354,1,2
740,2,20,96,15,39,51,223,0,3
741,19,69,31,5,30,75,229,0,3
742,23,3,98,4,64,39,231,0,3
743,17,64,3,32,83,74,273,0,2
744,93,6,11,7,27,79,223,0,3
745,62,82,36,20,40,46,286,1,2
746,45,60,18,44,53,1,221,0,3
747,2,41,3,98,35,57,236,0,3
748,0,96,80,74,70,42,362,1,1
749,9,11,1,62,20,36,139,0,0
750,72,78,62,32,72,53,369,1,1
751,20,92,15,82,92,61,362,0,1
752,71,31,36,96,55,85,374,1,1
753,71,50,70,4,92,10,297,0,2
754,51,88,53,10,94,20,316,0,2
755,91,78,67,97,99,8,440,1,1
756,47,71,5,37,65,40,265,1,3
757,87,73,74,84,4,11,333,0,2
758,54,30,33,17,1,38,173,0,0
759,99,13,76,95,91,73,447,1,1
760,44,20,36,33,22,86,241,0,3
761,98,51,29,19,60,24,281,0,2
762,5,62,5,79,33,16,200,0,3
763,64,9,42,44,76,7,242,0,3
764,39,18,56,53,29,78,273,0,2
765,4,16,92,45,7,71,235,0,3
766,23,52,87,94,16,27,299,0,2
767,49,99,32,30,57,53,320,0,2
768,81,86,45,11,29,13,265,0,3
769,97,66,70,83,75,49,440,1,1
770,82,64,65,74,96,38,419,1,1
771,61,83,54,99,47,72,416,1,1
772,6,6,35,48,85,68,248,0,3
773,7,23,27,45,50,6,158,0,0
774,15,0,93,89,99,42,338,0,2
775,88,67,82,68,21,68,394,1,1
776,91,88,80,84,19,80,442,1,1
777,20,48,2,10,61,41,182,0,0
778,55,96,71,72,66,26,386,1,1
779,90,35,68,5,76,5,279,0,2
780,31,75,43,70,95,23,337,0,2
781,47,15,97,90,9,26,284,0,2
782,35,32,72,82,99,10,330,0,2
783,0,96,98,73,97,91,455,1,1
784,83,68,56,11,90,21,329,0,2
785,2,8,32,41,92,88,263,0,3
786,74,40,41,6,84,60,305,1,2
787,93,94,30,97,58,27,399,0,1
788,37,71,59,16,36,29,248,0,3
789,78,70,56,94,36,72,406,1,1
790,57,42,7,44,44,71,265,1,3
791,45,55,50,45,34,7,236,1,3
792,65,56,83,7,54,22,287,0,2
793,47,42,50,18,90,30,277,0,2
794,49,80,93,69,79,14,384,1,1
795,79,29,21,99,66,81,375,0,1
796,2,65,69,4,86,89,315,0,2
797,91,96,63,93,92,4,439,1,1
798,23,64,89,76,15,98,365,0,1
799,30,87,30,56,63,39,305,0,2
800,3,39,88,98,76,86,390,1,1
801,74,46,46,49,72,27,314,1,2
802,3,53,64,64,88,42,314,1,2
803,38,15,44,68,47,10,222,0,3
804,33,85,59,21,70,21,289,0,2
805,60,79,67,1,35,25,267,0,3
806,98,18,84,43,1,26,270,0,0
807,63,46,94,92,34,1,330,1,2
808,13,77,95,61,65,96,407,1,1
809,87,53,41,16,23,3,223,0,3
810,14,56,92,81,87,97,427,1,1
811,77,62,72,6,35,2,254,0,3
812,89,9,83,95,57,8,341,0,2
813,31,39,64,41,35,9,219,0,3
814,24,57,29,51,93,93,347,0,2
815,8,3,74,92,35,44,256,0,3
816,17,23,21,4,17,45,127,0,0
817,46,71,95,56,79,96,443,1,1
818,67,76,76,16,58,49,342,1,2
819,40,73,26,95,86,75,395,1,1
820,89,46,82,96,1,84,398,1,1
821,30,17,39,40,11,92,229,0,3
822,99,22,82,78,92,17,390,0,1
823,79,66,78,79,44,11,357,1,2
824,76,67,16,95,62,26,342,0,2
825,62,70,59,84,77,36,388,1,1
826,76,32,0,94,53,70,325,0,2
827,43,67,36,67,40,87,340,1,2
828,23,54,58,59,55,72,321,1,2
829,87,43,44,56,13,79,322,1,2
830,16,76,69,17,15,67,260,0,3
831,67,6,20,63,92,6,254,0,3
832,30,61,70,46,12,41,260,0,3
833,8,57,54,5,81,61,266,0,3
834,96,96,82,87,67,53,481,1,1
835,24,87,51,0,75,8,245,0,3
836,62,12,25,58,82,59,298,0,2
837,71,9,38,55,8,91,272,0,2
838,92,38,51,94,98,26,399,1,1
839,79,62,71,68,84,79,443,1,1
840,24,83,85,42,77,80,391,1,1
841,5,13,14,38,38,15,123,0,0
842,99,53,61,5,10,65,293,0,2
843,14,68,80,84,81,20,347,0,2
844,16,51,18,69,18,40,212,0,3
845,93,30,19,94,17,63,316,0,2
846,85,47,73,33,93,27,358,0,2
847,39,45,66,93,18,84,345,1,2
848,54,61,26,0,43,24,208,0,3
849,62,81,43,47,81,75,389,1,1
850,63,63,58,63,29,99,375,1,1
851,96,76,22,17,20,23,254,0,3
852,38,8,77,37,82,70,312,1,2
853,50,43,15,16,83,49,256,0,3
854,89,5,49,42,35,5,225,0,3
855,90,57,33,91,90,14,375,0,1
856,73,50,36,76,88,89,412,1,1
857,6,94,50,98,82,85,415,1,1
858,76,26,9,91,23,14,239,0,3
859,2,45,37,32,17,42,175,0,0
860,84,36,55,14,22,61,272,0,2
861,34,64,45,51,25,54,273,1,2
862,77,29,50,33,68,96,353,0,2
863,90,91,26,86,55,67,415,1,1
864,15,98,19,56,18,71,277,0,2
865,88,18,7,39,60,17,229,0,3
866,32,8,61,50,53,36,240,0,3
867,28,98,83,41,1,94,345,0,2
868,48,15,68,35,12,47,225,0,3
869,70,42,65,73,43,71,364,1,1
870,56,54,34,61,30,19,254,0,3
871,34,55,35,69,18,91,302,1,2
872,74,28,12,5,19,96,234,0,3
873,58,40,55,49,55,0,257,1,3
874,59,77,95,14,23,83,351,0,2
875,97,63,26,31,93,75,385,0,1
876,28,46,70,38,67,89,338,1,2
877,91,86,64,32,21,17,311,0,2
878,68,73,79,81,78,83,462,1,1
879,30,82,86,55,78,18,349,0,2
880,29,64,93,40,29,98,353,0,2
881,40,35,74,8,35,83,275,1,2
882,42,35,95,92,75,77,416,1,1
883,65,18,98,90,67,9,347,0,2
884,87,37,63,60,19,18,284,0,2
885,9,95,24,51,59,68,306,0,2
886,48,94,2,28,21,29,222,0,3
887,53,0,99,33,41,64,290,0,2
888,75,29,15,27,10,16,172,0,0
889,58,9,27,3,7,79,183,0,0
890,26,91,92,74,9,98,390,0,1
891,54,5,40,81,10,13,203,0,3
892,97,1,16,83,32,48,277,0,2
893,12,25,63,87,3,77,267,0,3
894,60,61,30,28,82,77,338,0,2
895,87,59,70,56,41,15,328,1,2
896,34,22,18,53,52,39,218,0,3
897,17,66,12,56,0,53,204,0,3
898,87,63,27,44,20,15,256,0,3
899,30,38,32,78,29,37,244,0,3
900,94,53,21,4,55,54,281,0,2
901,53,27,91,9,15,72,267,0,3
902,50,81,16,62,8,86,303,0,2
903,59,45,87,93,63,24,371,1,1
904,27,1,9,57,1,68,163,0,0
905,46,53,96,45,60,62,362,1,1
906,11,71,69,89,26,70,336,0,2
907,42,7,61,64,62,24,260,0,3
908,74,89,8,64,66,36,337,1,2
909,55,50,28,27,73,25,258,0,3
910,62,1,6,71,15,30,185,0,0
911,84,82,5,26,21,89,307,0,2
912,25,44,57,69,0,38,233,0,3
913,4,12,86,20,98,89,309,0,2
914,53,80,41,25,49,78,326,1,2
915,60,31,79,70,82,80,402,1,1
916,23,42,54,38,84,6,247,0,3
917,35,89,91,21,1,3,240,0,3
918,34,77,8,82,58,67,326,1,2
919,43,67,61,9,42,73,295,1,2
920,29,15,16,33,33,90,216,0,3
921,15,54,3,52,7,18,149,0,0
922,92,76,30,18,10,38,264,0,3
923,95,9,86,86,8,13,297,0,2
924,36,99,67,63,91,16,372,1,1
925,66,54,88,66,88,26,388,1,1
926,17,90,66,80,6,78,337,0,2
927,65,9,81,66,51,35,307,1,2
928,9,1,2,64,14,59,149,0,0
929,20,32,95,10,44,18,219,0,3
930,20,34,46,71,57,28,256,0,3
931,54,81,67,27,38,84,351,1,2
932,69,73,84,0,56,2,284,0,2
933,43,39,89,66,98,85,420,1,1
934,14,91,6,38,17,58,224,0,3
935,95,49,27,79,75,49,374,1,1
936,72,44,0,88,69,72,345,1,2
937,83,8,0,33,74,41,239,0,3
938,60,73,94,80,15,78,400,1,1
939,92,50,61,68,23,50,344,1,2
940,51,62,85,83,59,52,392,1,1
941,83,80,70,98,16,44,391,1,1
942,81,91,54,22,39,1,288,0,2
943,85,20,67,26,4,74,276,0,2
944,67,73,17,91,21,91,360,0,0
945,23,9,19,43,57,81,232,0,3
946,95,85,68,53,25,95,421,1,1
947,55,89,54,36,67,41,342,1,2
948,20,72,36,41,89,64,322,1,2
949,74,50,93,92,69,16,394,1,1
950,44,20,76,86,91,2,319,0,2
951,89,92,97,55,26,93,452,1,1
952,58,2,61,39,31,41,232,0,3
953,4,6,97,67,92,57,323,0,2
954,15,47,87,5,89,91,334,0,2
955,22,73,85,10,39,8,237,0,3
956,25,37,70,81,1,72,286,0,2
957,29,78,63,93,71,77,411,1,1
958,80,72,69,78,48,8,355,1,2
959,84,10,96,37,7,38,272,0,2
960,87,20,96,81,73,41,398,1,1
961,40,19,71,17,35,24,206,0,3
962,55,65,67,16,63,42,308,1,2
963,77,20,33,78,66,5,279,0,2
964,98,15,38,69,49,8,277,0,2
965,37,53,23,14,40,42,209,0,3
966,4,52,43,17,58,96,270,0,0
967,72,35,4,46,39,12,208,0,3
968,26,31,75,58,56,99,345,0,2
969,53,93,13,12,28,94,293,0,2
970,89,66,29,73,10,36,303,0,2
971,73,56,52,51,15,78,325,1,2
972,18,14,26,96,54,36,244,0,3
973,37,47,5,95,60,24,268,0,3
974,5,94,79,23,36,37,274,0,2
975,69,24,83,10,3,82,271,0,2
976,86,16,88,31,48,81,350,0,2
977,15,93,80,97,73,8,366,0,1
978,98,90,12,12,70,84,366,0,1
979,12,79,13,28,1,4,137,0,0
980,45,64,27,64,69,75,344,1,2
981,28,87,54,63,69,96,397,1,1
982,76,49,53,93,93,44,408,1,1
983,95,65,89,39,56,73,417,1,1
984,84,82,46,74,54,46,386,1,1
985,12,94,50,84,87,16,343,0,2
986,94,61,61,91,65,59,431,1,1
987,76,36,53,60,32,27,284,0,2
988,96,46,66,87,65,23,383,1,1
989,10,4,65,3,46,26,154,0,0
990,30,68,30,14,16,6,164,0,0
991,98,53,29,61,40,11,292,0,2
992,55,94,59,68,82,89,447,1,1
993,72,30,34,90,71,36,333,1,2
994,94,62,68,84,13,35,356,1,2
995,55,89,68,58,13,13,296,0,2
996,42,62,25,87,51,68,335,1,2
997,9,83,70,14,11,78,265,0,3
998,23,82,31,42,84,52,314,0,2
999,75,78,68,33,79,91,424,1,1
